0,1,2,3,4,5,6
011.12,011.1,011,010-018.99,001-139.99,001-999.99,001-999.99
969.02,969.0,969,960-979.99,800-999.99,001-999.99,001-999.99
053.22,053.2,053,050-059.99,001-139.99,001-999.99,001-999.99
159.9,159,150-159.99,140-239.99,001-999.99,001-999.99,001-999.99
999.61,999.6,999,996-999.99,800-999.99,001-999.99,001-999.99
661.40,661.4,661,660-669.99,630-679.99,001-999.99,001-999.99
780-789.99,780-799.99,001-999.99,001-999.99,001-999.99,001-999.99,001-999.99
389.2,389,380-389.99,320-389.99,001-999.99,001-999.99,001-999.99
678.13,678.1,678,678-679.99,630-679.99,001-999.99,001-999.99
642.11,642.1,642,640-649.99,630-679.99,001-999.99,001-999.99
717.40,717.4,717,710-719.99,710-739.99,001-999.99,001-999.99
210.0,210,210-229.99,140-239.99,001-999.99,001-999.99,001-999.99
368.62,368.6,368,360-379.99,320-389.99,001-999.99,001-999.99
665,660-669.99,630-679.99,001-999.99,001-999.99,001-999.99,001-999.99
851.55,851.5,851,850-854.99,800-999.99,001-999.99,001-999.99
851.53,851.5,851,850-854.99,800-999.99,001-999.99,001-999.99
277.30,277.3,277,270-279.99,240-279.99,001-999.99,001-999.99
794.15,794.1,794,790-796.99,780-799.99,001-999.99,001-999.99
145.3,145,140-149.99,140-239.99,001-999.99,001-999.99,001-999.99
421.0,421,420-429.99,390-459.99,001-999.99,001-999.99,001-999.99
665.03,665.0,665,660-669.99,630-679.99,001-999.99,001-999.99
092.0,092,090-099.99,001-139.99,001-999.99,001-999.99,001-999.99
665.01,665.0,665,660-669.99,630-679.99,001-999.99,001-999.99
379.06,379.0,379,360-379.99,320-389.99,001-999.99,001-999.99
876,870-879.99,870-897.99,800-999.99,001-999.99,001-999.99,001-999.99
647.33,647.3,647,640-649.99,630-679.99,001-999.99,001-999.99
374.14,374.1,374,360-379.99,320-389.99,001-999.99,001-999.99
873.29,873.2,873,870-879.99,870-897.99,800-999.99,001-999.99
715.98,715.9,715,710-719.99,710-739.99,001-999.99,001-999.99
531.10,531.1,531,530-539.99,520-579.99,001-999.99,001-999.99
016.34,016.3,016,010-018.99,001-139.99,001-999.99,001-999.99
761.1,761,760-763.99,760-779.99,001-999.99,001-999.99,001-999.99
453.84,453.8,453,451-459.99,390-459.99,001-999.99,001-999.99
826.0,826,820-829.99,800-829.99,800-999.99,001-999.99,001-999.99
636.01,636.0,636,634-639.99,630-679.99,001-999.99,001-999.99
775.81,775.8,775,764-779.99,760-779.99,001-999.99,001-999.99
828.1,828,820-829.99,800-829.99,800-999.99,001-999.99,001-999.99
123.0,123,120-129.99,001-139.99,001-999.99,001-999.99,001-999.99
