Frekvens,0,Total rows,Probability,IC,PARENT_IC,INDEX,Constant,ENCODE
1571,V1051,503609,0.003119483567608998,5.7700878140634675,41.95226854794988,2.0,0.01,41.97226854794988
1536,V452,503609,0.00304998520677748,5.792618538611471,17.551021218548627,2.0,0.01,17.571021218548626
1500,V1079,503609,0.002978501178493633,5.816335065228787,12.267548402893544,1.0,0.01,12.277548402893544
1480,V1271,503609,0.002938787829447051,5.829758085560928,18.389788883046656,2.0,0.01,18.409788883046655
1478,V1087,503609,0.002934816494542393,5.831110350810941,69.63619819469484,3.0,0.01,69.66619819469484
1471,V1584,503609,0.0029209168223760895,5.835857731717651,37.675621831375224,4.0,0.01,37.71562183137522
1466,V1253,503609,0.002910988485114444,5.839262569872492,34.36587617700984,4.0,0.01,34.40587617700984
1431,V0259,503609,0.002841490124282926,5.863426672762637,18.18054239708001,2.0,0.01,18.20054239708001
1411,V5331,503609,0.002801776775236344,5.877501500466274,22.49709039840279,1.0,0.01,22.50709039840279
1362,V5866,503609,0.0027044790700722185,5.912845965609631,42.87843810556217,5.0,0.01,42.928438105562165
1325,V160,503609,0.0026310093743360423,5.940387713898766,48.84033729649701,1.0,0.01,48.85033729649701
1297,V5812,503609,0.002575410685670828,5.961746268002645,11.974907576228269,1.0,0.01,11.984907576228268
1232,V5811,503609,0.002446342301269437,6.013161308225623,11.974907576228269,2.0,0.01,11.994907576228268
1219,V5831,503609,0.002420528624389159,6.023769322837817,6.023769322837817,1.0,0.01,6.033769322837816
1196,V446,503609,0.00237485827298559,6.042817517808511,33.69933630005146,5.0,0.01,33.74933630005146
1172,V1201,503609,0.0023272022541296917,6.06308848218213,35.47919164808542,3.0,0.01,35.50919164808542
1141,V427,503609,0.00226564656310749,6.089895102457013,42.68305349766496,3.0,0.01,42.71305349766496
1133,V1749,503609,0.0022497612234888575,6.096931191291082,13.96899127158239,1.0,0.01,13.97899127158239
1111,V551,503609,0.0022060765395376177,6.116539662679458,61.256169238669585,2.0,0.01,61.27616923866959
1086,V4282,503609,0.0021564348532293904,6.139298951825207,28.02975434778098,1.0,0.01,28.03975434778098
1030,V4571,503609,0.0020452374758989614,6.192241371095407,61.59402945024026,4.0,0.01,61.634029450240256
1020,V1301,503609,0.0020253808013756705,6.201997546040771,11.858483910327664,2.0,0.01,11.878483910327663
1002,V163,503609,0.0019896387872337467,6.219802170674279,48.84033729649701,2.0,0.01,48.860337296497015
985,V1259,503609,0.0019558824405441523,6.236913811147,34.36587617700984,5.0,0.01,34.415876177009835
966,V453,503609,0.0019181547589498997,6.25639161810657,17.551021218548627,3.0,0.01,17.581021218548628
965,V180,503609,0.0019161690914975705,6.257427350980103,24.838674754940065,1.0,0.01,24.848674754940067
938,V1261,503609,0.0018625560702846852,6.285805503312864,6.285805503312864,1.0,0.01,6.295805503312864
915,V1351,503609,0.0018168857188811162,6.310631387043567,6.310631387043567,1.0,0.01,6.320631387043567
880,V161,503609,0.001747387358049598,6.349633544846836,48.84033729649701,3.0,0.01,48.87033729649701
856,V8541,503609,0.0016997313391937,6.377285076177347,36.88007025387086,1.0,0.01,36.89007025387086
836,V168,503609,0.0016600179901471181,6.400926839234387,48.84033729649701,4.0,0.01,48.88033729649701
821,V1002,503609,0.0016302329783621818,6.41903234286666,61.68731282602627,3.0,0.01,61.71731282602627
808,V4283,503609,0.0016044193014819036,6.434993393797993,28.02975434778098,2.0,0.01,28.04975434778098
799,V552,503609,0.0015865482944109417,6.446194506552814,61.256169238669585,3.0,0.01,61.286169238669586
795,V1072,503609,0.0015786056246016255,6.451213337664757,12.267548402893544,2.0,0.01,12.287548402893544
785,V1007,503609,0.0015587489500783346,6.46387173453668,61.68731282602627,4.0,0.01,61.72731282602627
771,V1042,503609,0.0015309496057457274,6.481867078755759,49.33604329812777,2.0,0.01,49.35604329812777
760,V1541,503609,0.0015091072637701073,6.496237019038712,16.367695933336318,1.0,0.01,16.37769593333632
724,V1041,503609,0.0014376232354862601,6.544764059933372,49.33604329812777,3.0,0.01,49.36604329812777
716,V140,503609,0.0014217378958676274,6.555875285358443,58.94821581398057,1.0,0.01,58.958215813980566
669,V1009,503609,0.0013284115256081603,6.62377139219086,61.68731282602627,5.0,0.01,61.73731282602627
665,V4577,503609,0.0013204688557988439,6.6297684116632345,61.59402945024026,5.0,0.01,61.644029450240254
657,V4976,503609,0.0013045835161802112,6.641871433834478,35.550161382025976,2.0,0.01,35.57016138202598
635,V5862,503609,0.0012608988322289714,6.675930453426397,42.87843810556217,6.0,0.01,42.93843810556217
625,V5881,503609,0.0012410421577056805,6.691803802582687,14.183004585568028,1.0,0.01,14.193004585568028
619,V4561,503609,0.0012291281529917058,6.7014501796344925,16.739963178595264,1.0,0.01,16.749963178595266
618,V113,503609,0.0012271424855393768,6.7030669948613975,6.7030669948613975,1.0,0.01,6.713066994861397
618,V553,503609,0.0012271424855393768,6.7030669948613975,61.256169238669585,4.0,0.01,61.296169238669584
600,V1003,503609,0.0011914004713974532,6.732625797102942,61.68731282602627,6.0,0.01,61.747312826026274
591,V8542,503609,0.0011735294643264913,6.74773943491299,36.88007025387086,2.0,0.01,36.900070253870865
573,V1552,503609,0.0011377874501845677,6.778669735604349,20.970602313581665,2.0,0.01,20.990602313581665
572,V1043,503609,0.0011358017827322387,6.780416460939291,49.33604329812777,4.0,0.01,49.37604329812777
561,V444,503609,0.0011139594407566188,6.799834546796392,33.69933630005146,6.0,0.01,33.759336300051466
529,V8543,503609,0.0010504180822820878,6.858567020460789,36.88007025387086,3.0,0.01,36.91007025387086
527,V0991,503609,0.0010464467473774296,6.862354903777726,6.862354903777726,1.0,0.01,6.872354903777726
512,V5332,503609,0.0010166617355924935,6.891230827279581,22.49709039840279,2.0,0.01,22.51709039840279
498,V4972,503609,0.0009888623912598861,6.918955375294436,35.550161382025976,3.0,0.01,35.58016138202598
492,V4281,503609,0.0009769483865459117,6.93107673582678,28.02975434778098,3.0,0.01,28.05975434778098
448,V1241,503609,0.0008895790186434317,7.024762219904104,16.89622113420171,1.0,0.01,16.90622113420171
422,V0981,503609,0.0008379516648828754,7.084550138283077,11.24915437888751,2.0,0.01,11.26915437888751
419,V8537,503609,0.0008319946625258882,7.09168453239695,76.86489335646262,1.0,0.01,76.87489335646262
399,V8538,503609,0.0007922813134793064,7.140594035429225,76.86489335646262,2.0,0.01,76.88489335646261
383,V029,503609,0.000760510634242041,7.181520463138442,7.181520463138442,1.0,0.01,7.191520463138442
378,V4575,503609,0.0007505822969803955,7.194661256699501,61.59402945024026,6.0,0.01,61.65402945024026
363,V431,503609,0.0007207972851954592,7.235152618054237,19.89991098850739,2.0,0.01,19.91991098850739
335,V6442,503609,0.0006651985965302447,7.3154249204940225,12.817922955794177,2.0,0.01,12.837922955794177
332,V1279,503609,0.0006592415941732574,7.3244204834026,18.389788883046656,3.0,0.01,18.419788883046657
311,V5489,503609,0.0006175425776743465,7.389762540139855,25.576718136589783,1.0,0.01,25.586718136589784
305,V5419,503609,0.0006056285729603721,7.409243675711677,50.1196226785219,1.0,0.01,50.1296226785219
304,V5413,503609,0.0006036429055080429,7.412527750912867,50.1196226785219,2.0,0.01,50.1396226785219
304,V151,503609,0.0006036429055080429,7.412527750912867,11.638675683299692,2.0,0.01,11.658675683299691
304,V0253,503609,0.0006036429055080429,7.412527750912867,18.18054239708001,3.0,0.01,18.21054239708001
302,V1044,503609,0.0005996715706033847,7.419128434944219,49.33604329812777,5.0,0.01,49.38604329812777
300,V6141,503609,0.0005957002356987266,7.425772977662888,15.628074744824772,1.0,0.01,15.638074744824772
294,V148,503609,0.000583786230984752,7.445975684980407,58.94821581398057,2.0,0.01,58.96821581398057
294,V071,503609,0.000583786230984752,7.445975684980407,18.27294604430545,1.0,0.01,18.28294604430545
290,V171,503609,0.0005758435611754357,7.459674529338569,29.880833040303397,2.0,0.01,29.900833040303397
289,V653,503609,0.0005738578937231066,7.463128764206656,26.17052745349352,1.0,0.01,26.18052745349352
284,V556,503609,0.0005639295564614611,7.4805812141578825,61.256169238669585,5.0,0.01,61.30616923866958
282,V8530,503609,0.000559958221556803,7.487648381380975,76.86489335646262,3.0,0.01,76.89489335646262
281,V5883,503609,0.0005579725541044739,7.491200782985342,14.183004585568028,2.0,0.01,14.203004585568028
279,V8522,503609,0.0005540012191998158,7.498343670497722,26.402452654030643,1.0,0.01,26.412452654030645
275,V1021,503609,0.0005460585493904993,7.512784354652517,28.578938408400482,1.0,0.01,28.588938408400484
260,V4576,503609,0.0005162735376055631,7.56887382130356,61.59402945024026,7.0,0.01,61.66402945024026
260,V4588,503609,0.0005162735376055631,7.56887382130356,39.25495210200368,5.0,0.01,39.304952102003675
257,V0261,503609,0.0005103165352485757,7.580479367423869,16.4615395776936,1.0,0.01,16.4715395776936
253,V141,503609,0.0005023738654392594,7.596165963591568,58.94821581398057,3.0,0.01,58.97821581398057
251,V8539,503609,0.0004984025305346013,7.604102513187304,76.86489335646262,4.0,0.01,76.90489335646262
248,V425,503609,0.0004924455281776139,7.616126706154106,42.68305349766496,4.0,0.01,42.72305349766496
245,V8536,503609,0.0004864885258206267,7.628297241774361,76.86489335646262,5.0,0.01,76.91489335646261
240,V5864,503609,0.00047656018855898126,7.6489165289770975,42.87843810556217,7.0,0.01,42.94843810556217
240,V4585,503609,0.00047656018855898126,7.6489165289770975,39.25495210200368,6.0,0.01,39.31495210200368
235,V5411,503609,0.0004666318512973358,7.66996993817493,50.1196226785219,3.0,0.01,50.1496226785219
230,V170,503609,0.0004567035140356904,7.691476143395893,29.880833040303397,3.0,0.01,29.910833040303398
228,V8531,503609,0.00045273217913103223,7.700209823364648,76.86489335646262,6.0,0.01,76.92489335646262
225,V741,503609,0.00044677517677404495,7.713455050114669,7.713455050114669,1.0,0.01,7.723455050114668
223,V166,503609,0.0004428038418693868,7.72238368085897,48.84033729649701,5.0,0.01,48.89033729649701
220,V4962,503609,0.0004368468395123995,7.735927905966727,27.926613222360793,1.0,0.01,27.936613222360794
211,V0382,503609,0.0004189758324414377,7.777697318843022,27.726889945254683,1.0,0.01,27.736889945254685
205,V1047,503609,0.0004070618277274632,7.80654547318068,49.33604329812777,6.0,0.01,49.39604329812777
199,V2651,503609,0.0003951478230134886,7.8362506275945965,17.87476362655537,1.0,0.01,17.884763626555372
196,V5863,503609,0.0003891908206565014,7.851440793088571,42.87843810556217,8.0,0.01,42.958438105562166
195,V8534,503609,0.0003872051532041723,7.856555893755342,76.86489335646262,7.0,0.01,76.93489335646261
194,V1089,503609,0.0003852194857518432,7.8616972932557605,69.63619819469484,4.0,0.01,69.67619819469485
192,V625,503609,0.000381248150847185,7.872060080291307,24.855979640633684,1.0,0.01,24.865979640633686
192,V8533,503609,0.000381248150847185,7.872060080291307,76.86489335646262,8.0,0.01,76.94489335646261
192,V1741,503609,0.000381248150847185,7.872060080291307,13.96899127158239,2.0,0.01,13.988991271582389
190,V1085,503609,0.0003772768159425268,7.8825313801586026,69.63619819469484,5.0,0.01,69.68619819469484
188,V643,503609,0.00037330548103786865,7.8931134894891395,18.582753331252295,3.0,0.01,18.612753331252296
185,V1061,503609,0.00036734847868088137,7.909199627240763,26.169975135925956,1.0,0.01,26.179975135925957
180,V011,503609,0.00035742014141923597,7.936598601428878,17.194953042840076,1.0,0.01,17.204953042840078
180,V4984,503609,0.00035742014141923597,7.936598601428878,41.901708059006424,4.0,0.01,41.94170805900642
180,V4587,503609,0.00035742014141923597,7.936598601428878,39.25495210200368,7.0,0.01,39.32495210200368
174,V1504,503609,0.0003455061367052614,7.97050015310456,45.6705462983961,1.0,0.01,45.680546298396095
160,V169,503609,0.0003177067923726542,8.054381637085262,48.84033729649701,6.0,0.01,48.900337296497014
160,V1365,503609,0.0003177067923726542,8.054381637085262,18.005883259056404,1.0,0.01,18.015883259056405
158,V053,503609,0.000313735457467996,8.066960419292121,16.206083284832474,1.0,0.01,16.216083284832475
153,V8535,503609,0.0003038071202063506,8.099117530926653,76.86489335646262,9.0,0.01,76.95489335646262
150,V5843,503609,0.0002978501178493633,8.118920158222833,27.3322544859815,1.0,0.01,27.342254485981503
147,V8812,503609,0.000291893115492376,8.139122865540353,8.139122865540353,1.0,0.01,8.149122865540352
147,V4973,503609,0.000291893115492376,8.139122865540353,35.550161382025976,4.0,0.01,35.590161382025975
147,V058,503609,0.000291893115492376,8.139122865540353,16.206083284832474,2.0,0.01,16.226083284832473
147,V1389,503609,0.000291893115492376,8.139122865540353,8.139122865540353,1.0,0.01,8.149122865540352
145,V167,503609,0.00028792178058771785,8.152821709898515,48.84033729649701,7.0,0.01,48.91033729649701
142,V430,503609,0.00028196477823073056,8.173728394717827,19.89991098850739,3.0,0.01,19.92991098850739
140,V037,503609,0.0002779934433260724,8.187913029709785,8.187913029709785,1.0,0.01,8.197913029709785
138,V6142,503609,0.0002740221084214142,8.202301767161885,15.628074744824772,2.0,0.01,15.648074744824772
137,V8545,503609,0.00027203644096908516,8.209574526490963,36.88007025387086,4.0,0.01,36.92007025387086
132,V045,503609,0.0002621081037074397,8.246753529732718,8.246753529732718,1.0,0.01,8.256753529732718
128,V1001,503609,0.00025416543389812337,8.277525188399471,61.68731282602627,7.0,0.01,61.75731282602627
127,V1091,503609,0.00025217976644579425,8.285368365860498,17.084190477893255,1.0,0.01,17.094190477893257
127,V4361,503609,0.00025217976644579425,8.285368365860498,16.969433936237422,3.0,0.01,16.999433936237423
115,V8532,503609,0.0002283517570178452,8.384623323955838,76.86489335646262,10.0,0.01,76.96489335646261
114,V580,503609,0.00022636608956551612,8.393357003924592,8.393357003924592,1.0,0.01,8.403357003924592
111,V146,503609,0.00022040908720852883,8.420025251006754,58.94821581398057,4.0,0.01,58.98821581398057
110,V1004,503609,0.00021842341975619975,8.429075086526673,61.68731282602627,8.0,0.01,61.76731282602627
110,V620,503609,0.00021842341975619975,8.429075086526673,24.855979640633684,2.0,0.01,24.875979640633684
105,V1000,503609,0.0002084950824945543,8.475595102161565,61.68731282602627,9.0,0.01,61.777312826026275
100,V4289,503609,0.00019856674523290887,8.524385266330997,28.02975434778098,4.0,0.01,28.06975434778098
