0,1,2,3,4,5,6
38.14,38.1,38,35-39.99,00-99.99,00-99.99,00-99.99
86.95,86.9,86,85-86.99,00-99.99,00-99.99,00-99.99
52.94,52.9,52,42-54.99,00-99.99,00-99.99,00-99.99
24.39,24.3,24,21-29.99,00-99.99,00-99.99,00-99.99
51.10,51.1,51,42-54.99,00-99.99,00-99.99,00-99.99
85.11,85.1,85,85-86.99,00-99.99,00-99.99,00-99.99
97.21,97.2,97,87-99.99,00-99.99,00-99.99,00-99.99
64.92,64.9,64,60-64.99,00-99.99,00-99.99,00-99.99
33.52,33.5,33,30-34.99,00-99.99,00-99.99,00-99.99
07.9,07,06-07.99,00-99.99,00-99.99,00-99.99,00-99.99
11.61,11.6,11,08-16.99,00-99.99,00-99.99,00-99.99
45.62,45.6,45,42-54.99,00-99.99,00-99.99,00-99.99
10,08-16.99,00-99.99,00-99.99,00-99.99,00-99.99,00-99.99
77.82,77.8,77,76-84.99,00-99.99,00-99.99,00-99.99
41.99,41.9,41,40-41.99,00-99.99,00-99.99,00-99.99
87.06,87.0,87,87-99.99,00-99.99,00-99.99,00-99.99
86.26,86.2,86,85-86.99,00-99.99,00-99.99,00-99.99
99.73,99.7,99,87-99.99,00-99.99,00-99.99,00-99.99
99.60,99.6,99,87-99.99,00-99.99,00-99.99,00-99.99
94.29,94.2,94,87-99.99,00-99.99,00-99.99,00-99.99
93.33,93.3,93,87-99.99,00-99.99,00-99.99,00-99.99
95.31,95.3,95,87-99.99,00-99.99,00-99.99,00-99.99
07.83,07.8,07,06-07.99,00-99.99,00-99.99,00-99.99
39.86,39.8,39,35-39.99,00-99.99,00-99.99,00-99.99
94.2,94,87-99.99,00-99.99,00-99.99,00-99.99,00-99.99
74.1,74,72-75.99,00-99.99,00-99.99,00-99.99,00-99.99
87.6,87,87-99.99,00-99.99,00-99.99,00-99.99,00-99.99
27.79,27.7,27,21-29.99,00-99.99,00-99.99,00-99.99
48.91,48.9,48,42-54.99,00-99.99,00-99.99,00-99.99
97.65,97.6,97,87-99.99,00-99.99,00-99.99,00-99.99
92.18,92.1,92,87-99.99,00-99.99,00-99.99,00-99.99
09.51,09.5,09,08-16.99,00-99.99,00-99.99,00-99.99
38.05,38.0,38,35-39.99,00-99.99,00-99.99,00-99.99
04.04,04.0,04,01-05.99,00-99.99,00-99.99,00-99.99
28,21-29.99,00-99.99,00-99.99,00-99.99,00-99.99,00-99.99
59.99,59.9,59,55-59.99,00-99.99,00-99.99,00-99.99
86.70,86.7,86,85-86.99,00-99.99,00-99.99,00-99.99
02.39,02.3,02,01-05.99,00-99.99,00-99.99,00-99.99
80.30,80.3,80,76-84.99,00-99.99,00-99.99,00-99.99
02.9,02,01-05.99,00-99.99,00-99.99,00-99.99,00-99.99
46.96,46.9,46,42-54.99,00-99.99,00-99.99,00-99.99
77.48,77.4,77,76-84.99,00-99.99,00-99.99,00-99.99
82.0,82,76-84.99,00-99.99,00-99.99,00-99.99,00-99.99
34.29,34.2,34,30-34.99,00-99.99,00-99.99,00-99.99
87.53,87.5,87,87-99.99,00-99.99,00-99.99,00-99.99
85.55,85.5,85,85-86.99,00-99.99,00-99.99,00-99.99
40.62,40.6,40,40-41.99,00-99.99,00-99.99,00-99.99
81.26,81.2,81,76-84.99,00-99.99,00-99.99,00-99.99
93.36,93.3,93,87-99.99,00-99.99,00-99.99,00-99.99
81.13,81.1,81,76-84.99,00-99.99,00-99.99,00-99.99
25.02,25.0,25,21-29.99,00-99.99,00-99.99,00-99.99
34.8,34,30-34.99,00-99.99,00-99.99,00-99.99,00-99.99
15.5,15,08-16.99,00-99.99,00-99.99,00-99.99,00-99.99
72.52,72.5,72,72-75.99,00-99.99,00-99.99,00-99.99
81.2,81,76-84.99,00-99.99,00-99.99,00-99.99,00-99.99
57.22,57.2,57,55-59.99,00-99.99,00-99.99,00-99.99
04.07,04.0,04,01-05.99,00-99.99,00-99.99,00-99.99
79.16,79.1,79,76-84.99,00-99.99,00-99.99,00-99.99
45.15,45.1,45,42-54.99,00-99.99,00-99.99,00-99.99
79.00,79.0,79,76-84.99,00-99.99,00-99.99,00-99.99
64.45,64.4,64,60-64.99,00-99.99,00-99.99,00-99.99
57.82,57.8,57,55-59.99,00-99.99,00-99.99,00-99.99
35.91,35.9,35,35-39.99,00-99.99,00-99.99,00-99.99
38.52,38.5,38,35-39.99,00-99.99,00-99.99,00-99.99
77.35,77.3,77,76-84.99,00-99.99,00-99.99,00-99.99
82.6,82,76-84.99,00-99.99,00-99.99,00-99.99,00-99.99
34.89,34.8,34,30-34.99,00-99.99,00-99.99,00-99.99
65.25,65.2,65,65-71.99,00-99.99,00-99.99,00-99.99
99.26,99.2,99,87-99.99,00-99.99,00-99.99,00-99.99
12.98,12.9,12,08-16.99,00-99.99,00-99.99,00-99.99
99.29,99.2,99,87-99.99,00-99.99,00-99.99,00-99.99
67.0,67,65-71.99,00-99.99,00-99.99,00-99.99,00-99.99
90.01,90.0,90,87-99.99,00-99.99,00-99.99,00-99.99
45.02,45.0,45,42-54.99,00-99.99,00-99.99,00-99.99
77.95,77.9,77,76-84.99,00-99.99,00-99.99,00-99.99
99.2,99,87-99.99,00-99.99,00-99.99,00-99.99,00-99.99
03.71,03.7,03,01-05.99,00-99.99,00-99.99,00-99.99
42-54.99,00-99.99,00-99.99,00-99.99,00-99.99,00-99.99,00-99.99
81.73,81.7,81,76-84.99,00-99.99,00-99.99,00-99.99
99.8,99,87-99.99,00-99.99,00-99.99,00-99.99,00-99.99
88.21,88.2,88,87-99.99,00-99.99,00-99.99,00-99.99
86.23,86.2,86,85-86.99,00-99.99,00-99.99,00-99.99
10.21,10.2,10,08-16.99,00-99.99,00-99.99,00-99.99
79.60,79.6,79,76-84.99,00-99.99,00-99.99,00-99.99
18.19,18.1,18,18-20.99,00-99.99,00-99.99,00-99.99
97.3,97,87-99.99,00-99.99,00-99.99,00-99.99,00-99.99
77.26,77.2,77,76-84.99,00-99.99,00-99.99,00-99.99
77.10,77.1,77,76-84.99,00-99.99,00-99.99,00-99.99
55.92,55.9,55,55-59.99,00-99.99,00-99.99,00-99.99
46.74,46.7,46,42-54.99,00-99.99,00-99.99,00-99.99
12.73,12.7,12,08-16.99,00-99.99,00-99.99,00-99.99
12.89,12.8,12,08-16.99,00-99.99,00-99.99,00-99.99
34.51,34.5,34,30-34.99,00-99.99,00-99.99,00-99.99
00.66,00.6,00-00.99,00-99.99,00-99.99,00-99.99,00-99.99
99.04,99.0,99,87-99.99,00-99.99,00-99.99,00-99.99
96.43,96.4,96,87-99.99,00-99.99,00-99.99,00-99.99
06.31,06.3,06,06-07.99,00-99.99,00-99.99,00-99.99
21.04,21.0,21,21-29.99,00-99.99,00-99.99,00-99.99
77.70,77.7,77,76-84.99,00-99.99,00-99.99,00-99.99
87.82,87.8,87,87-99.99,00-99.99,00-99.99,00-99.99
55.95,55.9,55,55-59.99,00-99.99,00-99.99,00-99.99
